Project Name,Project Start Date,Reporting Construction Type,Borough,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,Total Units,Latitude,Longitude
BRC. 13-12 BEACH CHANNEL DRIVE,08/31/2022,New Construction,Queens,88,0,58,0,0,125,9,13,0,0,147,40.605609,-73.754996
QUEENS  - 63-68 AUSTIN STREET_MIH71623,08/30/2022,New Construction,Queens,0,0,19,0,0,0,9,10,0,0,78,40.727204,-73.863642
QN-22-61 45TH STREET AND 22-60 46TH STREET_MIH70046,07/21/2022,New Construction,Queens,0,0,10,0,0,0,1,7,2,0,35,40.769275,-73.903738
QN-22-61 45TH STREET AND 22-60 46TH STREET_MIH70046,07/21/2022,New Construction,Queens,0,0,19,0,0,1,6,10,2,0,64,40.769786,-73.904419
166-20 90TH AVENUE,06/30/2022,New Construction,Queens,0,0,108,0,0,0,81,27,0,0,614,40.707675,-73.793344
25-88 49TH STREET APARTMENTS,06/28/2022,New Construction,Queens,0,0,0,0,2,0,0,2,0,0,6,40.762465,-73.906238
21-59 44TH DRIVE,06/13/2022,New Construction,Queens,0,0,0,0,6,0,3,3,0,0,20,40.748034,-73.946922
QUEENS - 43-15 52 STREET_MIH71732,06/10/2022,New Construction,Queens,0,9,9,3,0,0,11,10,0,0,87,40.743792,-73.912547
56-15 VAN CLEEF STREET APARTMENTS,05/16/2022,New Construction,Queens,0,0,0,0,3,0,3,0,0,0,7,40.740532,-73.852056
134-40 BLOSSOM AVENUE APARTMENTS,04/15/2022,New Construction,Queens,0,0,0,0,3,0,0,3,0,0,8,40.7529,-73.828453
134-19 BLOSSOM AVENUE APARTMENTS,04/15/2022,New Construction,Queens,0,0,0,0,3,0,0,3,0,0,8,40.752802,-73.828763
148-18 HILLSIDE AVENUE,04/06/2022,New Construction,Queens,0,0,16,0,0,0,10,6,0,0,80,40.706166,-73.808184
57-41 GRANGER STREET,04/04/2022,New Construction,Queens,0,0,0,0,6,0,2,4,0,0,6,40.73902,-73.856621
31-05 21ST STREET,03/29/2022,New Construction,Queens,0,0,0,0,7,0,6,1,0,0,23,40.76715,-73.929982
31-07 ASTORIA APARTMENTS,02/28/2022,New Construction,Queens,0,0,0,0,3,0,1,2,0,0,10,40.764283,-73.9233
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,0,1,0,0,0,1,0,0,1,40.677051,-73.812475
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,1,0,0,0,0,0,0,0,1,40.710561,-73.743468
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,1,0,0,0,0,0,0,1,1,40.695543,-73.754406
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,0,1,0,0,0,0,0,1,1,40.678762,-73.798034
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,0,2,0,0,0,0,2,0,2,40.709884,-73.743871
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,2,0,0,0,0,0,2,0,2,40.709992,-73.765102
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,0,2,0,0,0,0,2,0,2,40.698553,-73.743792
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,1,0,0,0,0,0,1,0,1,40.710701,-73.757553
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,1,0,0,0,0,1,0,0,1,40.706547,-73.743033
HABITAT NET ZERO,02/23/2022,New Construction,Queens,0,0,1,0,0,0,0,0,0,1,1,40.696469,-73.750883
95-01 37TH AVENUE APARTMENTS,01/28/2022,New Construction,Queens,0,0,0,0,14,0,7,7,0,0,44,40.751099,-73.872154
ELMCOR. 104-10 & 12 NORTHERN BLVD,01/13/2022,New Construction,Queens,29,1,0,0,0,30,0,0,0,0,30,40.757694,-73.864417
